,Dates,Ratings,Titles,Bodys
98,2020-12-17,5,"Don't expect recycling, installing and testing even if boxes are ticked.",The product is as expected as it was to replace an old bosch washing machine. It was the sales pitch that was poor. Promised to remove old machine and install and test new machine (£40 extra to be charged after providing service) not a problem. However delivery guys don't install or remove old machines apparently. So I think it was a sneaky way of selling their product.
99,2021-03-20,5,Sooo quiet!,"The first time we used this we thought it was faulty. It is so quiet that the water intake is louder than the machine itsself! The only time you can hear it is when it starts to spin, and even at full belt, it is nothing to worry about. Superb washing and great value for money."
100,2022-02-03,5,Excellent washing results on all settings!,"Easy to use, extremely quiet during cycle, good looking , the best washing machine I ever had!"
101,2021-08-30,4,Recommended model,It was recommended
102,2021-07-09,5,Great Washing Machine,"This is an excellent machine. my wife says.  ""Best washing machine I have every had"".. Very versatile, adjustable spin in any programme, 4 Kg. mixed 59 min wash exellent, very quiet, able to stop and add items after starting the wash. Cannot praise it enough."
103,2021-08-23,4,Good quality,Good quality
104,2021-08-20,5,Bisch Basch Bosch,Have been using this for over a month now and it is an excellent washing machine with lots of useful features. Very quiet when washing or on spin cycle. Built to usual Bosch standards and washing results are brilliant. Would thoroughly recommend.
105,2021-01-02,5,Works perfectly,The W/M was delivered wihtin 4 days of placing the order and given a time slot of delivery on the day. Dlivery personel unpacked the  item and made sure was in good visable condition. They took away all the packaging  The W/M works as expected and plumbing in to an existing system was very easy
106,2021-04-21,4,Doesn’t use enough water,Quiet machine. Doesn’t use enough water for large loads  . But will spin without moving and quietly.
107,2021-12-29,2,Had a faulty one,"Firstly a positive, did a good job on washing clothes. However this unit vibrated terribly and made a horrible clanging sound on spin. Was bought as ""acceptable"" from amazon warehouse so expected the cosmetic damage but quite easy to see how it was caused when machine shaking violently. Return and refund processed really smoothly, just glad I kept the packaging. I am sure most are fine but sometimes there is a reason why it was a customer return in the first place."
108,2021-02-28,5,BEST Washer Ever!!,The BEST Washer i have ever owned runs a treat so easy to use and quiet sometimes have to check its still washing! A great all rounder digital controls and nice flush door so keeps nice and clean the best from BOSCH delighted hope to get many years from this great Washer!
109,2022-03-01,5,Quiet machine,Delivery by Arrow was poor but washer is great
110,2021-05-01,5,Fast reliable service- very quiet machine,Wouldn’t normally think of Amazon for a washing machine but quickly delivered and fitted and old one taken away for recycling. Competitive prices and reliable professional service. The Bosh machine is effective and yes is very quiet compared to other washing machines. 5 stars fully recommend
111,2022-01-17,5,A great brand,I’m be always trusted Bosch products and I am so happy with my washing machine.
112,2021-07-18,3,Rubbish feet,One of the feet broke off when sliding it back into position. Cheap nasty plastic feet. Why not a quality metal bolt type foot that won’t break off. The appliance cost enough to warrant a decent set of feet!!
113,2021-01-05,4,Easy to use,"Used for washing clothes, very pleased with the programmes & the timings, adjusted how I use the programmes to suit my laundry."
114,2021-04-03,4,Check it before delivery guys leave,"Arrived and working ok, but when unpacked there was a small dent on the door"
115,2021-09-27,2,Item  cannot be installed,"Washer item shown as ""GB"" model but Hotwater connection cannot be effected to current fitting under sink.Washer connectioon appears to be for non british use. BOSCH MACHINE. It appears that a modified or adaptor fitting is required. I have had to contact plumber to come and survey/repair the washer to obtain working situation {Tuesday). I would require AMAZON to cover additional cost which I will advise you when notified by plumber. I took this matter up with AMAZON. Your rep advised ME to contact BOSCH for a solution. This problem is YOUR responsibility to rectify. Please advise."
116,2021-08-11,5,New washing machine,Turned up on time /day stated  old machine taken away along with the packaging from the new one . Up and running within the hour great machine good price can’t fault it but time will tell
117,2022-01-17,5,Fantastic,Delivery and set up service from Amazon was seamless. Machine is fantastic.
118,2021-04-18,4,Good purchase,Very pleased with machine. Using eco programme mostly. Good features includiy variable spin.
119,2022-03-12,5,"Fantastic delivery drivers, very friendly and helpful, machine is so quiet,highly recommended",Highly recommended
120,2020-11-24,5,"I would really recommend this product, great value for money.","I bought this product about 3 weeks ago and I am very happy with it .I love that there is a button to press ,which reduces the washing time .I feel that this is Important when you have a large family and need to do more than one wash in a day ,fantastic."
121,2021-03-31,3,Quality of service,Not the cheapestBut the delivery time quoted was the bestBut was delivered a day lateThe delivery people were friendlyBut we're not wearing masksI'd just spent two weeks in hospital with covidAs for the machine works okBut early days
122,2021-05-24,4,Washes very well on all programs,"Washes beautifully, easy to use, definitely value for money"
123,2022-02-26,5,Good machine,Value for money
124,2021-11-03,5,Superb washing machine,"Fantastic washing machine, very quiet and lots of different cycles. Good size. Very impressed as a good price for a Bosch too. Would recommend"
125,2021-07-29,5,Great machine,This is maybe not the most sleek looking washing machine but it does deliver performance exactly as described. It is very quiet and cleans clothes. Can't ask any more in my eyes. I would highly recommend.
126,2021-12-16,5,Very good washer,"Quiet and as described very good machine wife very happy with it, and that's what matters,"
127,2022-11-02,1,Not working. And no one turning up to return item!!,"Love this machine, however it is not draining or spinning (and hasn’t since I received it) and I have been waiting for 2 weeks for it to be picked up to get it returned for a refund. I keep getting put through to people who don’t understand me …… and I am really frustrated now"
128,2021-12-07,5,Really nice washing machine for the price,Was presently surprised at how nice this washing machine looks and performs. Very quiet even during spin cycle.
129,2021-10-24,5,Has lots of eco features & washes well,Replacing our old Bosch washing machine with this one. Does a good job and much quieter than the old one. Plenty of great features.
130,2020-12-12,5,Great low price Bosch Washing Machine.,Another excellent washing machine from Bosch. Bought it to replace one 19 years old and still in working order. Hope this performs as well! One small moan is the difficulty in lining up the mark on the control knob with the programme being selected unless looking straight on at eye level.
131,2021-07-25,5,Very pleased,Great machine . Easy to use. Fits in loads of washing as it’s a bigger drum than my last machine. Quiet . Love the drum clean function as I’m a hygiene freak!
132,2021-07-31,5,Getting right size ring spanner if doing your self,Delivered on time guys unpack for me took rubbish away had to get right size 13mm socket spanner very tight but easy to install after that wife still waiting use it .
133,2021-07-16,5,Quiet Efficiency!!,"Very pleased with this machine, The washing times are longer than of previous owned ones.The results are far cleaner clothes, whites particularly so,The machine runs very quiet.Highly Recomended."
134,2021-03-30,4,Quality is good,Excellent machine. All what I expected
135,2021-12-21,5,Quiet 🤫,Good quality washing machine that is super quiet.
136,2021-08-30,5,Love it,Just bought my first home and treated myself to a nice washer. Really quiet and easy to install and use. Lots of functions and looks tidy
137,2021-10-25,5,"Good value for money.silent worker, quick too","this washing machine is brilliant, cycles are quicker. easy to load, silent when it rotates compared to other machines i have seen."
138,2021-01-05,4,Reliable,As good as the review.  Easy to operate
139,2021-03-31,4,Good value,Easy to use
140,2022-10-28,1,Disappointing,Had this machine for 4 months and today for the second time am getting an error code which Bosch tell me doesn’t exist! E36 … 10. So have another engineer visit booked. I expected more from a machine that cost me this much 😩
141,2020-12-31,2,Disappointing: Slow & Limited,"Pro: Runs quietlyCon: Cold fill only, so uses expensive electricity (rather than cheaper gas) to heat water- Supplied without an ""elbow"" to guide the waste hose into a standard UK waste pipe- Instruction manual is very poor & hard to understand- Very limited range of washing programs, far fewer than my 40-year old machine, so it may lack the programs you want- Very slow: Most programs take over three hours- Does not seem to wash clothes effectively- Its design means that it projects into my kitchen, rather than fitting under the worktop"
142,2020-09-25,4,It does the business!,Just being used a as regular washing machine. Spin cycle is particularly good.
143,2021-07-29,5,Efficient and quiet.,Simple to use and great wash. Great value for money. Checked review on Which online before I bought - Best Buy. So far nothing to dislike!
144,2022-01-12,5,Fantastic,Great item
145,2021-04-29,5,Brilliant & value for money,"Very happy with this washing machine so quiet compare to my last one, digital display is easy to read and also the she is easy to use I would highly recommend this."
146,2022-01-08,5,excellent machine,Excellent machine
147,2021-11-18,5,Does exactly what it says on the box!,Great value for money as Bosch always seems to be!
148,2021-10-08,5,very quiet,"very satisfied with my washing machine, superb selection of washing programs , great looking, very easy to use."
149,2021-05-13,5,Efficient and quiet,"Had Bosch for many years and every new model improves on the last.This model is great, being very quiet and efficient. Easy to use dial for programme selection."
150,2021-05-08,5,Tasty!,"Not sure why they ask us to rate flavour but washing machine is silent, reliable and so much better than any of the cheaper models we have had before."
151,2020-12-12,5,Wahing Machine,This machine is great. However I have yet to get used to the longer time to complete the cycle. This is probably due to the cold fill while my older machine was hot and cold fill. Very happy overall.
152,2021-11-13,5,Silent,It's so silent.it looks like it's not raining.Easy to use.Thanks
153,2021-02-14,4,Good !!,Good product
154,2021-11-29,5,Great machine,"Easy to use, quiet and cleans."
155,2021-06-20,5,Great,Very pleased purchased to replace old machine the delivery guys really good plumbing in new one and taking away old one so easy thanks.
156,2021-06-01,5,Mum loves the machine.,"I brought the Bosch WAN28281GB Serie 4 Freestanding Washing Machine for my Mum,and she loves it.My mum is very happy,so the machine is worth it."
157,2022-04-11,1,Broke down after less than a year!,Extremely disappointed with this washing machine and with Bosch in general. The machine is stuck closed for about 3 days now and it is not able to drain water (there is NO emergency drainage hose as in some other models - cost saving?)The closest repair date that Bosch could provide is around 11 days after the machine broke. I've called to see if this could be moved forward and no earlier dates were given.I'm stuck with a broken washing machine and my clothes will rot inside during the next 10 days.AVOID THIS PURCHASE!
158,2021-11-25,5,Great,Usual great Bosch design & quality
159,2021-10-27,5,Excellent value,"Easy to use, easy to install, larger drum means less washes"
160,2021-07-11,5,Easy to use,Very easy to install. Takes a larger load than my old machine so once I worked out the programmes it's been a dream to use
161,2021-09-20,5,Great machine,"Great machine loads of programs for all different cycles, only problem we had was removing the packaging bolts."
162,2021-12-05,5,Seems OK only had to use twice so far. I like the fact that dark wash only takes 116,Easy to use
163,2021-11-29,5,Reliable manufacturer,Great piece of kit
164,2021-01-17,5,Good,The delivery person waited 20 minutes for me to get back home. The machine is quite good. It's been just a month of use hopefully it will stay the same in future.
165,2021-11-09,5,Machine is very quiet,Good selection of programs and easy to use
166,2021-07-11,5,Brilliant machine,"This is the best machine I have ever had, it's quiet and washed so well. The timer function is so handy."
167,2021-11-09,5,Reliability,Dose what it says on the box
168,2021-09-22,5,Well made Machine fit for the Purpose .,The previous  Bosch Machine worked perfectly for over  a number of years !
169,2021-01-11,5,Perfect service,Love it. Arrived in great shape. The best part was the service of taking my old machine from first floor and carrying the new machine to first floor. All went smoothly
170,2021-10-14,5,Great piece of kit,"Excellent product, so many features and so easy to use."
171,2021-07-05,5,Great Washing Machine,I chose this machine as it is a Which recommended buy and it hasn't disappointed. Great machine. I would strongly recommend
172,2021-06-07,5,Easy to use,Easy to use and does it's job. Love the drum clean option particularly after my children did some tiedye shirts.
173,2021-05-31,5,Quiet and easy to use. Energy saving program,"Very quiet machine, Amazon offering the best price with speedy delivery & taking the old machine away. Team did an good job of connecting."
174,2021-07-11,5,Quality product,Bought this as a housewarming present for my sister-in-law. She loves Bosch products and is delighted with this
175,2021-07-28,5,Quiet and efficient,"Does the job as you would expect, great results, lots of program options but straightforward to use."
176,2021-11-20,5,Good value,Delivered timeously
177,2020-09-29,5,"Easy to install, easy to use!",Straightforward and reliable (so far!) machine - bought this one based on an earlier version that I brought over 15 years ago that finally gave up the ghost after lots of family and dog use!!!
178,2021-07-12,5,I bought this,Brilliant piece of equipment !!!! Love that the buttons work with just a light touch !
179,2021-10-19,5,Great machine on recommendation,Reputation & recommendation. Not disappointed
180,2021-03-07,5,Excellent washing machine vert quite.,"Great Bosh washing machine easy to use, very quiet when running, echo wash can take a little longer. Great delivery and recycle service"
181,2021-04-05,5,Superb machine,"Best machine I’ve had by miles, so quiet when running and has my clothes spotless, definitely worth the extra money"
182,2021-05-14,5,Didn’t realise that Amazon sold washing machines,Had our last Bosch washing machine for 16 years so confident to buy another replacement Bosch machine
183,2021-06-13,5,Great washing machine,"Very easy to use , and it’s the quietest washing machine I’ve ever owned"
184,2021-03-03,5,Seems a good washing machine.,"Easy to use, seems like a good machine. Does the job much better than the old thing i had anyway.."
185,2021-04-19,5,Excellent on all accounts,Excellent on all accounts and good value for money given the price range for other similar models.
186,2021-05-27,5,Bisch vario power washing nachune series 4,"I like the flexibility of the programmes which you can adjust, temperature and spin speed"
187,2021-05-03,5,Good value nice and quiet,"Good value, nice and quiet..Only improvement needed for me is start press button..Otherwise all good"
188,2021-07-14,5,Fab washing machine,"Love my new washing machine, it's easy to use too"
189,2021-04-29,5,Very good machine,Im very impressed with this tumble dryer. Almost Crease free clothes and very fast. Quiet too.
190,2021-07-10,5,"Good appliance, delivered promptly by Amazon and was very easy to install","It is a good washing machine, good value for money"
191,2021-10-04,5,Five star,Excellent  working
192,2021-07-12,5,Very happy with my washer and can’t believe how quiet it is,Had a plumber to plumb the washer in
193,2021-07-05,5,I love this machine,Great washing machine works a dream and very quite
194,2021-07-23,5,brilliant machine.,"this machine is great ,very quiet and efficient."
195,2021-06-28,5,Great washer,"Well packaged, easy to install and use."
196,2021-03-21,5,great product great price,my wife loves using it as the stream outside has dried up
197,2021-06-28,5,Good value for money,Easy to use great machine for money
198,2021-02-08,5,Very nice and quite,"Bought this for farther and he really likes it, comments it’s so quite and easy to use."
199,2021-05-30,5,Great brand,"Love it, does exactly what I want it to."
200,2021-06-10,5,Worth every penny,"Great washing machine, can't believe how quiet it is."
201,2021-05-17,5,Good machine.,Quiet running. I expect it to last for a long time.
202,2021-06-17,5,Top quality.,"Excellent machine, runs very quietly and efficiently."
203,2021-07-26,5,Washer,"It's just brilliant, really silent"
204,2021-03-19,5,RELIABILITY,"HAD OUR LAST BOSCH WASHING FOR 17 YEARS, HOPE THIS ONE LAST AS LONG."
205,2021-03-28,5,Quiet but confusing,"Beautifully quiet, even on fast spin. Manual is not exactly a model of clarity."
206,2021-06-07,5,Good value for money,It's a  Bosch what's more to say
207,2021-05-08,5,Great Machine,Great features and very easy to use and install
208,2020-12-22,5,Nice washer. A massive upgrade from our old one.,"Great washer so far, delivery guys were spot on. Even tells you how long is left. Love it."
209,2021-04-24,5,No times in booklet instruction for duration of each cycle/combinations case of trial and error,Easy to install exceptionally quiet new so getting used to it
210,2021-04-18,5,Buy and clean up!.,"Wife says great! Quite , easy to understand would recommend 👍"
211,2021-05-24,5,I recommend highly,Very good brand. Very quiet. Good design
212,2021-04-25,5,Reliability,As with Amazon and branded products you cannot go wrong
213,2021-03-27,5,good.quality,"Very quiet , easy to use and a programme for everything."
214,2021-05-03,5,Good Washing Machine so far,Early days yet but so far so good...
215,2021-03-10,5,"Very quiet, good value for money.","'How to' booklet rather complicated but once used a few times, excellent."
216,2021-02-25,5,Quiet,This is a washing machine that washes clothes.It is very quiet.
217,2021-06-03,5,First rate item .,"german quality, first rate,great value A+."
218,2021-04-11,5,Easy to use,"Easy to use, love the quicker washing cycles."
219,2021-02-16,5,Love the machine,It is quit and bigger than my last machine and love the product.
220,2021-06-15,5,Easy to use. Good value. Runs quietly.,Easy to use. Quiet machine.
221,2021-06-13,5,Excellent machine very quiet and good value,Magnetic drive makes it quiet.
222,2021-05-31,5,Efficiency and very low noise level,Good capacity and dead quiet.
223,2021-06-11,5,Easy to follow instructions,Washing machine by bosch classy
224,2021-03-04,5,Worth every penny very happy,Single man its easy to use and cleans realy well 👍
225,2021-02-17,5,Love it,Really quiet.  A good washer. I would defo buy it again
226,2021-03-11,5,Great Purchase,"Great price great delivery great washing machine, very very happy."
227,2021-04-04,5,Value for monet,"Easy to use, great display and very quiet."
228,2021-06-23,5,Superb,Amazing machine extremely silence.
229,2021-07-18,5,Very pleased with the product,Easy to use
230,2021-10-09,2,Nice Looking BUT!!!!,"Each part of wash program has to be set individual after each cycle, wash then wait then drain and spin. Time wasting. Thought more of Bosch but disappointed."
231,2021-03-09,5,Bosch it,"Nice and quiet, barely noticed it was on!"
232,2021-02-19,5,Product review,Useful washing machine easy to use and very straightforward.
233,2021-06-27,5,Best washing machine ever!,Brilliant machine 😊
234,2021-02-12,5,Variety,Good choice of washing programmes and time saving feature
235,2020-05-22,5,Perfect,"Delivered by AO on time and date given on E-Mail,the two deliverymen could not do enough for me,highly recommended and a credit to their company."
236,2021-04-26,5,Good make and does what it says,Great machine and very quiet
237,2020-12-22,5,Bosch excellence,Excellent machine and very prompt delivery.  You cannot beat Bosch technology.
238,2021-07-03,5,Great,Excellent machine
239,2021-06-15,5,Excellent,Superb quality
240,2021-03-18,5,This is a great product.,"Quiet, efficient and good value."
241,2021-05-17,5,Good value,Easy to use
242,2021-02-26,5,Very happy,Good washing machine excellent service
243,2021-04-25,5,Quality,very good
244,2021-03-30,5,Excellent washing machine quite cleans brilliantly,Washing clothes
245,2021-03-04,5,Good qualitt,Good washing machine.
246,2021-03-27,5,Great washer,Great washer
247,2022-03-01,1,Disappointing purchase,Although the max. spin is supposed to be 1400rpm every time I do a wash the clothes are still fairly wet and have to be re-spun. Well below my expectations of a Bosch productI would not recommend this washing machine
248,2021-09-13,1,"There is a problem at slow spin revolutions, horrendous banging coming from drum.","I need help with my faulty Bosch please, horrendous banging sound coming from drum whenever on low speed spin. Noise disappears once the drum starts spinning quickly. Not sure if this is relevant but if I spin the empty drum it sticks and won't spin freely.Please help!Kind RegardsSteve Rowley"
249,2020-07-23,5,Good washer,"Cleans well, quiet, like the timer."
250,2023-01-16,5,"Quiet, efficient spin andeffective short wash","I'm a single household but use my machine regularly. I've had the machine for 18 months and it has worked well to date. I like the bigger 9kg drum as it allows for bigger loads and I can wash all my bedding, including a mattress protector, which is quite bulky."
251,2021-12-03,1,Incompetent installer,The product only arrived today and the person tasked with installing didn’t do it correctly and caused structural damage to the house very disappointed
252,2021-07-19,1,Scratches on front and leaked.,First use- water flooded from control panel.  Returned item for refund. Amusing conversation with chat help who suggested I use something to patch the leak from the electrical control panel.
253,2021-07-03,1,Don’t Buy,"The media could not be loaded.
                



 It’s terrible the whole house is shaking  ."
254,2021-01-18,1,Defective washing machine,The washing machine has a fault.
255,2020-07-15,5,Wonderful washing machine,"This is my first Bosch washing machine. I've tried most of the other major brands over the years, so having had both a Bosch oven and fridge freezer and been happy with them, I decided to purchase this washing machine.The most noticeable thing is how quiet this Bosch washing machine is. Personally, the noise coming from a washing machine doesn't bother me at all, but for some I know this is an issue and I've never owned a quieter machine than this one. Whatever the spin speed, it doesn't seem to get noticeably louder or violently shake as some washing machines are prone to do. There are not as many different pre-programmed washing cycles as you get with some other washing machines and some of them can take three hours to complete. You can choose shorter ones for small loads and there is a 'Speed Perfect' option to reduce the washing cycle duration. I'm not really ever in a hurry for my washing to be done very quickly, and given that the washing machine has good energy efficiency ratings waiting for the cycle to be finished isn't the worst thing in the world. I'm sure that the increased length of cycle is deliberate to improve the overall efficiency.The two things that really matter to me with washing machines are how well they clean the clothes (without damaging anything) and how long they last without becoming prone to needing to be repaired or replaced. I'm very happy with how this Bosch washing machine washes clothes and bed linen but can't really comment on its longevity after only having it for a few weeks. I shall update this review if it breaks prematurely, but as it stands I am very happy with this washing machine and would recommend it."
256,2022-02-25,5,The replacement for a what’s the piont !,"This machine replaced a what’s the piont, there is no comparison ! Superb Bosch, yes a lil’bit more expensive ! but a Series amount Better Quality, this really is an Excellent product ,well built , Easy to use, efficient , and so dam quite u think it’s not working ! hahaha Very Happy Fish, Very Happy Wife, Well Worth every penny of the extra outlay, Plus, a Which Guide best Buy . Real quality !"
257,2021-09-26,1,Hate hate hate,"Absolutely hate it, yes it’s quiet and that’s it it’s 1400 spin is only on a couple of programs so you have to change it if you don’t want soaking clothes. It’s so sensitive it often stops working, the child lock is infuriating no just spin only rinse spin that we have to constantly use because it’s not spun, often just bleeps because it’s decided too much weight with only a couple of items in, this then overrides rinse spin because it says it’s too heavy with the wet clothes it hasn’t spun, I hate it so much we are buying a different one but I feel too bad to sell this to someone I don’t hate, it also likes to clog up if you use a colour catcher and then doesn’t drain, I could write a book on how awful this washer is don’t understand why  people think it’s good I honestly can’t understand the point of a 1400 spin that doesn’t spin at 1400 and it also takes ages to wash and if you want it quickly guess what yes it knocks spin speed down so you have wet clothes so then it’s rinse and spin absolutely pointless as that to be overridden from 1200. The amount of times I have to wash things again makes it totally non economic or eco friendly doesn’t like to use soap or softener if in drawer either leaves half behind. Had to move it to a different room because if you walk past it it stops. Hat it."
258,2021-11-13,1,Wash machine not washing well,I have the Serial 2 and am disappointed with the quality of washing
259,2022-05-27,5,Bosch WAN28281GB Serie 4 Freestanding Washing Machine with AllergyPlus and SpeedPerfect,"We've only had this machine for a short time and haven't used it much. We like the ability to be able to alter the spin speed, temperature and to be able to reduce the wash cycle by about 50% by using the Speed Perfect wash cycle. Our last Bosch washing machine only lasted 6 years, let's hope this lastt a bit longer!!"
260,2022-07-15,5,Fantastic,"Wow I am so pleased with this washing machine, I have a few in my time but this one knocks spots off of them all apart from my first one which was a Bendix and I loved that too, it lasted 15 years was used every day too! This machine is so much quieter than all of them so don’t hesitate buy one you won’t be sorry."
261,2021-07-31,5,Great machine,Love Bosch always had one. This is quiet and the drum is big 9kg. Allows you to change run times. Perfect
262,2021-09-23,5,So quiet.,"Best machine ever at least so far! The delivery team were brilliant, massive thank you to the team from Inverness."
263,2022-05-22,5,Bosch washing machine,It's nice and quiet. excellent
264,2022-05-19,5,Quality,Good
265,2021-10-27,5,"its Bosch, doesn't need a review","very impressive , vey less sound , its in one of our WC near to my bedroom , no sound no nose to bedroom . I love this."
266,2022-09-17,5,Perfectly Silent,"Quality Machine, hopefully this will last many years"
267,2021-05-28,5,Great machine,"Big tub but not too deep, plenty of choice of programmes, very functional, almost matches my 3 year old serie 8 drier, pity the door does not have a chrome surround. this on is silvered plastic."
268,2021-07-18,5,"Excellent washing machine ,works like a dream and quiet too .",Easy to install very reasonable priceand came very quickly .
269,2021-07-19,5,Brilliant Washing Machine.,"It's been 16 years since Iast bought a new washing machine. Old faithful gave up the ghost.Had a really good look around because it seems we're spoilt for choice now?I found this on Amazon, and looked at all the reviews. I was hooked and had to have it.Took less than a week to arrive, plumbed it in myself which was really easy.Love all the programmes and settings, super quiet. My sister and brother inlooked at it, they had bought a new machine last year and it's done nothing but broke downit's a very Hot Point with them at the moment (wink wink nod nod)They wanted one and commented how whisper quiet it is!Had it going over the weekend and it's just performed brilliantly.If you want an excellent make and washing machine buy Bosch!"
270,2022-10-10,5,Ideal replacement,"Quickly delivered and installed by the crew who brought it.  They worked efficiently and tidily making sure there were no leaks.  Basic instructions given.  A good replacement for my old 15 year machine by Bosch, very quiet and probably easy to use once I read the handbook. Recommend having it installed with removal of old machine...a worthwhile experience."
271,2021-02-20,5,Good quality,"Good quality, worth buying."
272,2021-01-04,5,Very quiet.,This has to be the quietest washer I have ever heard.
273,2023-01-04,5,1 year latter & all's well.,I bought the basic Bosch - works well & faily quiet.  I just want a reliable machine that does a good job - so far this machine has lived up to the challenge.  Gets regular use.
274,2022-07-25,5,Reliable and a decent wash,Always buy Bosch so reliable and a good washing machine
275,2022-02-24,5,Washing machine,This is a replacement for a Miehlie and is as good
276,2021-09-10,5,You can rely on a Bosch,"I've had several different brand washing machines in recent years and although they wash OK, aren't up to this machine at all. Been using it for a couple of months now and I'm very pleased.Positive features:LOTS of useful and customisable washing programsWashes extremely well - even using PODS, you get a proper wash with lots of foaming. Gives you the confidence that your clothes are getting cleanGood size drum and takes a big weighted loadGood spin speed - clothes don't come out wringing wetInstant open after wash end - no delay before the lock is releasedEasy to useNegatives:Easy to accidentally brush against the control panel which is very sensitive so you can find yourself pausing the wash etc.The door doesn't have a ""clip"" type opener - i.e. pull that to open the clasp. Instead you just have to pull on the door. It required a bit more force than I initially thought (on my machine) so I was a bit nervous that I might break it. It's been fine though (so far)The door trim has a plastic finish and isn't stainless steel. Not a biggy but a shame because it would have looked to be the quality that it is if it had.The door itself isn't glass but a plastic. Unfortunately, my dogs claws scratched the front in the first week!In summary, I don't think you can beat the washing and features of this machine for the price but if you're able, take a look at a more expensive model for a better door."
277,2021-05-25,5,Great machine,Love the machine.I got with it the installation and removal and found the whole thing worth the money.
278,2022-01-27,5,This product is easy to use and quite.,"Nothing to dislike about. I use this product for all types of household laundry, including winter heavy curtains."
279,2022-02-22,5,The small print!,"Unfortunately the removal of the old, and the install of the new did not happen. The words for doing the same should not have been attached to the offer. Amazon agreed to pay my fees for doing the same, but I am still waiting. The machine is ok for two people and does the job, well which did the recommending"
280,2021-09-03,5,Awesome washer,"Sounds sad, but I cannot believe how good this is. So quiet I have to check it is running.Have been really impressed with how well it washes. Seems quite eco friendly with energy it is on about 12 times at least a week.To say I’m impressed is a short call."
281,2022-11-12,5,more expensive than some but worth it,excellent in all ways
282,2022-08-30,5,A good buy,Used this washing machine over the last week and I am delighted with the it's performance.
283,2023-04-01,5,Great washing machine!,Absolutely love this washing machine! Good balance between size and cost for our family. Good quality and stylish
284,2022-11-05,5,Very good and the delivery persons could not have been more helpful.,Good value easy to use and delivery great
285,2022-03-03,5,ok,ok
286,2022-02-10,5,Love my new washer,"Was a bit overwhelmed at first as it seemed very complicated. The manual isn't very good as it is not laid out in a logical way. For example, the manual says you have run the machine empty before using but it doesn't take you through the process so I just ran a short cycle. Only later did I come across that it was supposed to be the drum cleaning cycle.I ended up watching a few YouTube videos to get the information I needed.I like the iDos system although it is using a lot of laundry liquid. I've reduced the dosage but still using more than I usually would.The machine is so quiet, you don't notice it's on."
287,2022-01-22,5,Amazing,"I’ve had lots of washers in my time but this is amazing.the best I’ve ever brought it’s so quiet,would recommend this to anyone"
288,2022-01-08,5,Nice big drum,Like this!Lots of programmes although some take over 3 hours which I doubt I’ll use often. A good drum size which is important for a family. Spins clothes well. Quiet doesn’t make too much noise at all and has a countdown timer so you know when it’ll be finishedExcellent delivery with text updates - highly recommend those guys
289,2022-09-06,4,Check connections before installers leave,The washing machine is fine but installers left me with leaks at the connections to the sink waste pipe which soaked the cupboard and washing powder and which I did not find till I did the first wash. Not good enough!
290,2021-06-15,5,Great,"Very happy, next day delivery, much quieter than my old one, easy to install"
291,2022-12-15,5,Does everything well,Good robust machine from Bosch
292,2021-11-02,5,value for money,its working perfectly well as far as I see it
293,2021-04-17,5,No,Good
294,2021-11-18,5,Working great,"Canny machine ,short wash times not to much noise on spins.,,sticks out at the front a bit but looks good..HAPPY"
295,2021-02-28,5,So quiet!,"Upgraded from my 5 year old Bosch and glad I did. Awesome washing machine, I do find the eco mode is long but it’s super economical and the clothes come out amazingly clean.Definitely recommend."
296,2021-06-26,5,"So, so quiet","I had to look to make sure the washing machine was working as it was so quiet. The clothes are perfectly washed and in a reasonable lenth of time. I would like to add the delivery persons did an excelent job, as I requested placed in the room I wanted having taken away the packaging. Most polite and efficient."
297,2021-02-16,5,Good washer,Does the job A+++
298,2021-10-13,4,IT LOOKS GREAT BUT NO INSTALLATION PROVIDED,"It seems to be as advertised, but what was very disappointing is that there was no installation included, and  no option available neighter to pay for it. So I had to call a plumber a pay other money on top of £350 so this washing machine costed me over £400.The item is new , but cannot tell if is working well. I wilk have to wait for the plumber to install it. They should add an optional installation to make life easier to single women like me."
299,2021-03-01,5,For the price very good,Nice wash machine very quiet  Very happy with it
